wandb-name,wandb-project,wandb-entity,wandb-group,device,loss-type,threshold,zero-ablation,reset-subject,seed,task,torch-num-threads,model-type,test_kl_div,test_l2,score,number_of_edges
launch-acdc-tracr-reverse-00001,jailbreak_llm,pariya_mehrbod,acdc-tracr-reverse,cpu,l2,2.5118864315095825e-05,True,0,1298850854,tracr-reverse,4,attn-only-4l,6.139742936284165e-09,1.1842378477584098e-13,inf,15
launch-acdc-tracr-reverse-00002,jailbreak_llm,pariya_mehrbod,acdc-tracr-reverse,cpu,l2,6.309573444801929e-05,True,0,2324867908,tracr-reverse,4,attn-only-4l,6.139742936284165e-09,1.1842378477584098e-13,inf,15
launch-acdc-tracr-reverse-00003,jailbreak_llm,pariya_mehrbod,acdc-tracr-reverse,cpu,l2,0.0001584893192461,True,0,1221352795,tracr-reverse,4,attn-only-4l,6.139742936284165e-09,1.1842378477584098e-13,inf,15
launch-acdc-tracr-reverse-00004,jailbreak_llm,pariya_mehrbod,acdc-tracr-reverse,cpu,l2,0.0003981071705534,True,0,2537739542,tracr-reverse,4,attn-only-4l,6.139742936284165e-09,1.1842378477584098e-13,inf,15
launch-acdc-tracr-reverse-00005,jailbreak_llm,pariya_mehrbod,acdc-tracr-reverse,cpu,l2,0.001,True,0,627250118,tracr-reverse,4,attn-only-4l,6.139742936284165e-09,1.1842378477584098e-13,inf,15
launch-acdc-tracr-reverse-00006,jailbreak_llm,pariya_mehrbod,acdc-tracr-reverse,cpu,l2,0.0025118864315095,True,0,1868879351,tracr-reverse,4,attn-only-4l,6.139742936284165e-09,1.1842378477584098e-13,inf,15
launch-acdc-tracr-reverse-00007,jailbreak_llm,pariya_mehrbod,acdc-tracr-reverse,cpu,l2,0.0063095734448019,True,0,2020356508,tracr-reverse,4,attn-only-4l,6.139742936284165e-09,1.1842378477584098e-13,inf,15
launch-acdc-tracr-reverse-00008,jailbreak_llm,pariya_mehrbod,acdc-tracr-reverse,cpu,l2,0.0158489319246111,True,0,1050603933,tracr-reverse,4,attn-only-4l,6.139742936284165e-09,1.1842378477584098e-13,inf,15
launch-acdc-tracr-reverse-00009,jailbreak_llm,pariya_mehrbod,acdc-tracr-reverse,cpu,l2,0.0398107170553497,True,0,2536979734,tracr-reverse,4,attn-only-4l,6.139742936284165e-09,1.1842378477584098e-13,inf,15
launch-acdc-tracr-reverse-00010,jailbreak_llm,pariya_mehrbod,acdc-tracr-reverse,cpu,l2,0.1,True,0,2516872463,tracr-reverse,4,attn-only-4l,6.139742936284165e-09,1.1842378477584098e-13,inf,15
