wandb-name,wandb-project,wandb-entity,wandb-group,device,lr,loss-type,epochs,verbose,lambda-reg,zero-ablation,reset-subject,seed,num-examples,seq-len,n-loss-average-runs,task,torch-num-threads,model-type,number_of_nodes,specific_metric,nodes_to_mask,test_kl_div,test_l2,number_of_edges,percentage_binary
launch-sp-tracr-reverse-00010,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,0.251,1,0,197368186,6,5,20,tracr-reverse,4,attn-only-4l,10,2.671199777710882,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.hook_resid_mid[:]']",0.9317166641998824,2.671199777710882,36,0.9166666666666666
launch-sp-tracr-reverse-00011,jailbreak_llm,pariya_mehrbod,sp-{task},cpu,0.001,l2,10000,1,1.0,1,0,258315872,6,5,20,tracr-reverse,4,attn-only-4l,11,4.81854161218523,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.7129212346627325,4.81854161218523,41,0.8333333333333334
launch-sp-tracr-reverse-00000,jailbreak_llm,pariya_mehrbod,sp-tracr-reverse,cpu,0.001,l2,10000,1,0.001,0,1,1325277,6,5,20,tracr-reverse,4,attn-only-4l,4,6.666659116744995,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.8492655456066127,6.666659116744995,5,0.9166666666666666
launch-sp-tracr-reverse-00001,jailbreak_llm,pariya_mehrbod,sp-tracr-reverse,cpu,0.001,l2,10000,1,0.008,0,1,1245509803,6,5,20,tracr-reverse,4,attn-only-4l,4,6.666659116744995,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.8492655456066127,6.666659116744995,5,1.0
launch-sp-tracr-reverse-00002,jailbreak_llm,pariya_mehrbod,sp-tracr-reverse,cpu,0.001,l2,10000,1,0.063,0,1,2610168330,6,5,20,tracr-reverse,4,attn-only-4l,4,6.666659116744995,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.8492655456066127,6.666659116744995,5,1.0
launch-sp-tracr-reverse-00003,jailbreak_llm,pariya_mehrbod,sp-tracr-reverse,cpu,0.001,l2,10000,1,0.501,0,1,2852940166,6,5,20,tracr-reverse,4,attn-only-4l,4,6.666659116744995,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.8492655456066127,6.666659116744995,5,1.0
launch-sp-tracr-reverse-00004,jailbreak_llm,pariya_mehrbod,sp-tracr-reverse,cpu,0.001,l2,10000,1,0.001,1,1,2572051083,6,5,20,tracr-reverse,4,attn-only-4l,4,6.666659116744995,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.8492655456066127,6.666659116744995,5,1.0
launch-sp-tracr-reverse-00005,jailbreak_llm,pariya_mehrbod,sp-tracr-reverse,cpu,0.001,l2,10000,1,0.008,1,1,1905955923,6,5,20,tracr-reverse,4,attn-only-4l,4,6.666659116744995,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.8492655456066127,6.666659116744995,5,1.0
launch-sp-tracr-reverse-00006,jailbreak_llm,pariya_mehrbod,sp-tracr-reverse,cpu,0.001,l2,10000,1,0.063,1,1,1826165277,6,5,20,tracr-reverse,4,attn-only-4l,4,6.666659116744995,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.8492655456066127,6.666659116744995,5,1.0
launch-sp-tracr-reverse-00007,jailbreak_llm,pariya_mehrbod,sp-tracr-reverse,cpu,0.001,l2,10000,1,0.501,1,1,2696503193,6,5,20,tracr-reverse,4,attn-only-4l,4,6.666659116744995,"['blocks.0.attn.hook_q[:, :, 0]', 'blocks.0.attn.hook_k[:, :, 0]', 'blocks.0.attn.hook_v[:, :, 0]', 'blocks.0.hook_resid_mid[:]', 'blocks.1.attn.hook_q[:, :, 0]', 'blocks.1.attn.hook_k[:, :, 0]', 'blocks.1.attn.hook_v[:, :, 0]', 'blocks.1.hook_resid_mid[:]', 'blocks.2.attn.hook_q[:, :, 0]', 'blocks.2.attn.hook_k[:, :, 0]', 'blocks.2.attn.hook_v[:, :, 0]', 'blocks.2.hook_resid_mid[:]', 'blocks.3.attn.hook_q[:, :, 0]', 'blocks.3.attn.hook_k[:, :, 0]', 'blocks.3.attn.hook_v[:, :, 0]', 'blocks.3.hook_resid_mid[:]']",1.8492655456066132,6.666659116744995,5,0.9166666666666666
